time,u,y_measure,y_estimate,y_true,noise
0,-1,-0.207869130735015,0,0,-0.207869130735015
0.1,1,0.285297032978396,0,0.00715047543276408,0.278146557545632
0.2,1,0.223927381571746,0,0.0175054477899845,0.206421933781761
0.3,1,-0.621769338486457,0,0.0434822033072366,-0.665251541793694
0.4,1,0.711904207610607,0,0.0865103959477126,0.625393811662894
0.5,1,1.6167627450135,0,0.139310651739484,1.47745209327402
0.6,1,1.28677210643794,0,0.187459098987063,1.09931300745088
0.7,1,0.537602343295098,0,0.268825806147969,0.268776537147129
0.8,1,0.59345385566155,0,0.323104589554143,0.270349266107407
0.9,1,-0.70210360014481,0,0.389128416578623,-1.09123201672343
1,1,0.900220698671777,0,0.466566077314677,0.4336546213571
1.1,1,1.2994312518543,0,0.553787767455595,0.745643484398704
1.2,1,1.25478142671515,0,0.644915072340513,0.609866354374639
1.3,1,-0.138359851145235,0,0.7685731171772,-0.906932968322435
1.4,1,0.888144576308181,0,0.866257712426061,0.0218868638821196
1.5,1,0.270080325601264,0,0.952147750283467,-0.682067424682204
1.6,1,-0.030469781932396,0,1.05354632151876,-1.08401610345116
1.7,1,1.12507554645366,0,1.18304986086557,-0.057974314411918
1.8,1,0.892835544850699,0,1.32056764332156,-0.427732098470858
1.9,1,1.6228723152409,0,1.44170997788733,0.181162337353561
2,1,1.08382772249288,0,1.58786387755818,-0.5040361550653
2.1,1,1.85790652744059,0,1.73861945680648,0.119287070634114
2.2,1,2.36918701268686,0,1.90483111712958,0.464355895557277
2.3,1,1.22842956676779,0,2.07976073133064,-0.851331164562847
2.4,1,2.47690529006669,0,2.25270299487508,0.224202295191611
2.5,1,3.22800128909529,0,2.42264729806854,0.805353991026747
2.6,1,3.13722102339673,0,2.58709164327309,0.550129380123644
2.7,1,3.28521750770948,0,2.74390917875479,0.541308328954694
2.8,1,0.882722747318687,0,2.93661295109455,-2.05389020377586
2.9,1,2.34266315599051,0,3.15395133726733,-0.811288181276816
3,1,3.59821250548017,0,3.36029861000498,0.237913895475192
3.1,1,3.0375580250283,0,3.55849388499497,-0.52093585996667
3.2,1,3.58925211046516,0,3.73751230220245,-0.148260191737285
3.3,1,4.81442595664804,0,3.9386318544871,0.875794102160947
3.4,1,3.35023782101924,0,4.16204691231131,-0.811809091292072
3.5,1,4.47620241467837,0,4.38968326982255,0.0865191448558201
3.6,1,4.56474832701723,0,4.62513502232449,-0.0603866953072659
3.7,1,4.79689600250388,0,4.85330174651826,-0.0564057440143827
3.8,1,4.77313168055603,0,5.06381056402541,-0.29067888346939
3.9,1,4.93168649680539,0,5.26904855716841,-0.337362060363021
4,1,5.56849237654739,0,5.46536114131792,0.103131235229467
4.1,1,5.89647987054872,0,5.68051119834425,0.215968672204469
4.2,1,5.19965827426191,0,5.87124494049444,-0.671586666232523
4.3,1,6.72754822858923,0,6.0604998803413,0.667048348247926
4.4,1,5.29182714566115,0,6.27206514148497,-0.980237995823817
4.5,1,5.95747248728991,0,6.46398282417744,-0.506510336887524
4.6,1,7.37526616910406,0,6.64644489578196,0.728821273322097
4.7,1,6.38025825841549,0,6.86486291484769,-0.4846046564322
4.8,1,7.27200800601006,0,7.06825936339753,0.203748642612533
4.9,1,8.33913988059587,0,7.26383494758614,1.07530493300972
5,1,8.0294771662527,0,7.46806328505143,0.561413881201267
5.1,1,9.71570425662241,0,7.65464724499391,2.0610570116285
5.2,1,8.22452780007297,0,7.83547107678202,0.38905672329095
5.3,1,7.26547081900549,0,8.02723025560559,-0.761759436600099
5.4,1,8.08524263024194,0,8.25190105981289,-0.166658429570943
5.5,1,8.56476969605916,0,8.47807958628623,0.0866901097729262
5.6,1,8.52043255563833,0,8.69259821567509,-0.172165660036767
5.7,1,8.6150411453452,0,8.93536399338945,-0.320322848044245
5.8,1,10.0386990840989,0,9.19748761448046,0.841211469618491
5.9,1,9.19544803931685,0,9.398828942359,-0.203380903042151
6,1,10.1038953442317,0,9.63496589411208,0.468929450119629
6.1,1,10.9523176525272,0,9.84596136740096,1.10635628512622
6.2,1,9.87040705842651,0,10.0893338535398,-0.21892679511333
6.3,-1,10.7779212338454,0,10.3115375114861,0.466383722359254
6.4,-1,9.83571458898071,0,10.5379651710661,-0.702250582085363
6.5,-1,9.42588674958608,0,10.7236503251988,-1.29776357561277
6.6,-1,11.2233628035116,0,10.9189132458286,0.304449557683031
6.7,-1,11.5152296162649,0,11.1098478485582,0.405381767706624
6.8,-1,11.9645389880358,0,11.3026215121976,0.661917475838184
6.9,-1,10.401725924111,0,11.4564062592407,-1.0546803351298
7,-1,13.1298055503941,0,11.6264389105315,1.50336663986262
