time,u,y_measure,y_estimate,y_true,noise
0,0,-1.28511584559902,0,0,-1.28511584559902
0.1,0.0499167083234141,-0.164923254902973,0,0.10145681893191,-0.266380073834883
0.2,0.0993346653975306,1.22141532879485,0,0.14614112283428,1.07527420596057
0.3,0.14776010333067,1.40998805149234,0,0.253645931301768,1.15634212019057
0.4,0.194709171154325,-0.689606073419061,0,0.673201310588738,-1.3628073840078
0.5,0.239712769302102,-0.0769494018358489,0,0.872716309847064,-0.949665711682913
0.6,0.282321236697518,2.0602555919683,0,0.898661003044723,1.16159458892357
0.7,0.322108843618846,2.20192057244013,0,1.2786452051481,0.923275367292023
0.8,0.358678045449761,-0.123315301164203,0,1.47527780962996,-1.59859311079416
0.9,0.391663454813742,-0.347259125538269,0,1.45525835206475,-1.80251747760302
1,0.420735492403948,2.82687629713916,0,1.90345113472752,0.923425162411646
1.1,0.445603680030718,2.06948145994621,0,2.46685797042805,-0.397376510481834
1.2,0.466019542983613,1.27835372484843,0,2.6933568924958,-1.41500316764736
1.3,0.481779092708596,2.7607459716233,0,2.75229719026811,0.00844878135518523
1.4,0.49272486499423,3.7526756426581,0,2.72845626425956,1.02421937839853
1.5,0.498747493302027,4.97353931597952,0,3.55634724410673,1.41719207187279
1.6,0.499786801520753,2.0759411237975,0,4.21434948469278,-2.13840836089528
1.7,0.495832405226234,6.33958591736734,0,4.9517124020415,1.38787351532584
1.8,0.486923815439098,5.19620706753012,0,5.17875842883642,0.0174486386936977
1.9,0.473150043843707,4.96697328768477,0,5.82721273681811,-0.860239449133335
2,0.454648713412841,6.30397386355307,0,6.01778039908339,0.286193464469684
2.1,0.431604683324437,6.68725629219886,0,6.22418533032303,0.463070961875831
2.2,0.404248201909795,6.14993187244308,0,6.5648964072804,-0.414964534837323
2.3,0.37285260608836,7.85252534622916,0,6.92183278613545,0.930692560093707
2.4,0.337731590275575,7.14496360288635,0,7.08070626394076,0.0642573389455841
2.5,0.299236072051978,8.52803654944316,0,7.44704855564935,1.08098799379381
2.6,0.257750685910732,8.79475421647469,0,7.70928198525179,1.0854722312229
2.7,0.213689940116915,8.04910706997642,0,7.92744956064999,0.121657509326426
2.8,0.167494075077952,9.96504191136769,0,8.24166551097819,1.7233764003895
