time,y_measure,y_estimate,y_true,noise
0,3.30844347836692,0,3,0.308443478366917
0.1,2.71566110447861,0,2.970124683901,-0.254463579422391
0.2,2.57947526259815,0,2.91094425736451,-0.331468994766367
0.3,1.90643186615535,0,2.82334014532832,-0.916908279172968
0.4,3.02306479041431,0,2.70846829306869,0.314596497345622
0.5,3.20210128136004,0,2.56774491370469,0.634356367655341
0.6,1.31055557036313,0,2.40282978350283,-1.09227421313969
0.7,1.63442570378664,0,2.21560727587256,-0.581181572085917
0.8,2.9690192979595,0,2.00816534558197,0.960853952377531
0.9,1.54839021130817,0,1.78277269304732,-0.234382481739159
1,2.17433394284485,0,1.54185435440208,0.632479588442773
1.1,0.984537130630649,0,1.28796597629584,-0.303428845665193
1.2,1.61564323115883,0,1.02376704490608,0.59187618625275
1.3,0.462268094560233,0,0.751993346387006,-0.289725251826773
1.4,0.755740836388901,0,0.475428940881767,0.280311895507134
1.5,-0.345339427524394,0,0.196877934264962,-0.542217361789355
1.6,-0.63901307197428,0,-0.0808636690290025,-0.558149402945278
1.7,0.0797572354884697,0,-0.355035752363799,0.434792987852269
1.8,-0.705939013418859,0,-0.622941239096877,-0.0829977743219821
1.9,-0.798136635600317,0,-0.881972346304883,0.0838357107045659
2,-0.85266421195571,0,-1.12963568731545,0.276971475359736
2.1,-0.394120593831992,0,-1.36357598431021,0.969455390478216
2.2,-2.00573858869488,0,-1.58159816849245,-0.424140420202425
2.3,-2.4931268166086,0,-1.78168766359735,-0.71143915301125
2.4,-2.31094419161234,0,-1.96202866866099,-0.348915522951357
2.5,-1.45839450422306,0,-2.12102027773678,0.662625773513717
2.6,-2.80465704642126,0,-2.25729029742147,-0.5473667489998
2.7,-2.3177504241586,0,-2.36970664738257,0.0519562232239745
2.8,-1.98079474232476,0,-2.45738625431111,0.476591511986355
2.9,-1.37986956612884,0,-2.51970137559689,1.13983180946805
3,-2.38372224124713,0,-2.55628331527488,0.172561074027749
3.1,-2.87717208750082,0,-2.56702352115422,-0.310148566346599
3.2,-2.40481874386384,0,-2.55207207825275,0.147253334388908
3.3,-2.41102811299073,0,-2.51183363945973,0.100805526468997
3.4,-1.44104645828531,0,-2.4469608594848,1.00591440119949
3.5,-3.14031703894986,0,-2.3583454223776,-0.781971616572256
3.6,-1.52072293045151,0,-2.24710677598878,0.726383845537274
3.7,-1.39997453156887,0,-2.11457870846893,0.714604176900058
3.8,-1.41842690580937,0,-1.96229392206573,0.543867016256355
3.9,-1.62518531093155,0,-1.79196677789502,0.166781466963469
4,-1.09354566520614,0,-1.60547440186285,0.511928736656708
4.1,-2.32367299377436,0,-1.40483635635704,-0.918836637417322
4.2,-1.53036825620213,0,-1.19219309458553,-0.338175161616605
4.3,-0.417937024675634,0,-0.969783424413791,0.551846399738157
4.4,-0.0741928306518813,0,-0.739921216168319,0.665728385516438
4.5,-0.988599263107524,0,-0.504971594075479,-0.483627669032046
4.6,0.108323927557271,0,-0.267326853766682,0.375650781323953
4.7,-0.311255193858612,0,-0.0293823485988656,-0.281872845259746
4.8,-0.600663901464325,0,0.206487414565411,-0.807151316029736
4.9,1.26750157930351,0,0.437952233955882,0.829549345347629
5,0.470858488286329,0,0.66274899649952,-0.191890508213191
5.1,1.29634159576179,0,0.878703566071133,0.417638029690655
5.2,0.172720477207927,0,1.08375156714469,-0.911031089936765
5.3,1.34486958609787,0,1.2759578676917,0.0689117184061686
5.4,2.52085651428862,0,1.45353458008887,1.06732193419974
5.5,1.68539571177453,0,1.61485741537131,0.0705382964032164
5.6,2.37108658967554,0,1.75848024421762,0.612606345457922
5.7,1.55816324595197,0,1.88314773738503,-0.324984491433057
5.8,2.4795708547589,0,1.98780597872088,0.491764876038026
5.9,1.90416696761505,0,2.07161096514674,-0.167443997531692
6,2.50398766474085,0,2.13393492992334,0.370052734817513
6.1,2.12102047180659,0,2.17437044783275,-0.0533499760261674
6.2,2.37992923258439,0,2.19273230343315,0.187196929151244
6.3,2.49391758145583,0,2.18905712602334,0.304860455432486
6.4,1.7732164467655,0,2.16360081717712,-0.390384370411622
6.5,2.1884900124113,0,2.11683381845059,0.0716561939607119
